# Dead-ends catalogue — single source of truth (2026-08-18 reconstruction from EM/Meta/DeadEnds.lean and the session logs).
# num<TAB>cat<TAB>name<TAB>approach<TAB>rationale<TAB>session<TAB>witness<TAB>revival<TAB>status
# cat: OS orbit-specificity | DG decorrelation gap | AG aggregate gap | CO collapse | CI circularity | SF structurally false
#      TM technique mismatch | SM scale mismatch | MR methodological rule | -- number never assigned
# witness: a genuine (non-placeholder) Lean theorem, or —.  revival: weak-MC revival score 0–3, or -.
# Regenerate outputs with: python3 tools/gen_dead_ends.py
# Session numbers (S1–S307) refer to the project's session logs (agents/state/strategy_log*.md);
# the full text of sessions 1–274 is kept locally and is not part of the public repository.
1	MR	Computing concrete sequence values	Compute $\mathrm{seq}(8)$--$\mathrm{seq}(12)$ or other concrete Euclid--Mullin terms inside the Lean development	Methodological rule: concrete values prove nothing about all primes $q$; breaks the build, contributes nothing (Guiding Principle). Closest code OS: finite data says nothing about the whole orbit	1	—	-	probable — number never written; block \#1--3 inferred from catalog range; still valid
2	MR	Raising ThresholdHitting by computation	Increase $T$ in \code{ThresholdHitting T} $\Rightarrow$ MC by checking individual primes	Checking individual primes does not prove the conjecture; $T=11$ is the proved reduction (\code{threshold\_11\_implies\_mullin'}) and no finite $T$ closes MC	1	—	-	probable — number never written; still valid
3	MR	Brute-force SubgroupEscape instances	Add \code{SubgroupEscape} instances prime by prime beyond $q \le 157$	SE is already proved globally via PRE $\Rightarrow$ SE; instance-by-instance work is redundant with the global theorem	1	—	-	probable — number never written; still valid
4	TM	Consecutive vs arbitrary subsequences (ordering problem)	Cauchy--Davenport, EGZ, Davenport constant, Gordon sequenceability, Kneser, critical numbers to force partial products to cover $(\mathbb{Z}/q)^\times$	Those theorems concern arbitrary subsequences/subset products or existence of some good ordering; DH needs prefix products of one fixed ordering (the EM walk). Generation/coverage of subsets says nothing about the specific order	5	—	-	still valid; most-cited early entry; formal descendant \#140 (Cauchy--Davenport vacuous)
5	DG	Cofinal-cycle arguments plus SE	Derive a contradiction from cofinal-cycle constraints (positions, multipliers, death avoidance, product-one) plus SubgroupEscape; pumping $\ell > q-2$	Cofinal orbit captures only marginal properties, all consistent with HH failure (§23 counterexamples); pumping gives $\ell \ge \Omega(q-1)+1$, logarithmic not linear. Marginal/Joint Barrier	5	—	-	probable — reconstructed by counting; still valid
6	SF	Direct SE implies DH (generation not coverage)	Prove DynamicalHitting directly from SubgroupEscape / generation of $(\mathbb{Z}/q)^\times$ by the multipliers	Counterexample: in $\mathbb{Z}/6$ steps $2,2,2,\dots$ generate but partial sums cycle $0,2,4$ and miss all odd elements; generation does not imply coverage. Later $\mathbb{Z}/4$ witness	5	—	-	probable — reconstructed by counting; subsumed by registry \#20/\#130 (\code{alternating\_walk\_misses\_two})
7	TM	Self-avoidance implies character cancellation	Use distinctness of the multiplier primes (self-avoidance) to get cancellation in $\sum \chi(\text{walk})$	Distinct primes all $\equiv 1 \pmod q$ give $\chi(m_k)=1$ and $|\sum P_n| = N$; self-avoidance is a prime-level property, characters see only residues; no literature exploits step distinctness	6	—	-	probable — reconstructed by counting; renumbered \#26--29 in Session 16
8	TM	Booker/Burgess techniques for first EM sequence	Transfer Booker's variant-EM Hasse--Weil sums, Burgess plus reciprocity for the maxFac sequence, or Booker--Simon (2026) to the minFac sequence	Booker's variant allows a choice at each step and sums over all of $\mathbb{F}_q$, not the walk; Burgess needs rapidly growing primes (largest factors); Booker--Simon proves omission for the second EM sequence only	9	—	-	probable — reconstructed by counting; catalog mis-cites as \#57; still valid
9	OS	Chebotarev / Kummer route	Kummer extensions plus Chebotarev density (Booker--Simon style) to prove DH algebraically without character sums	Chebotarev not in Mathlib ($\sim$5000 lines); even if available it gives population density (SieveEquidistribution), not orbit-specific SieveTransfer. Abelian case degenerates to Dirichlet in APs (Session 298)	10	—	-	still valid; abelian case revised Session 298 (Dirichlet available); Kummer $k \ge 3$ still blocked
10	CO	WeakDecorrelation equals TailSE	Weaken DecorrelationHypothesis to ``not all multipliers in $\ker\chi$''	Equivalent to TailSE, already known insufficient: gives escapes $R(N)\to\infty$ but not positive escape density, so no $o(N)$ walk sum	11	—	-	probable — reconstructed by counting; still valid
